ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11567370,JC117524,1/15/2019 9:50,064XX S CAMPBELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,825,8,16,66,08B,1160812,1861969,2019,1/23/2019 11:26,41.77693137,-87.68601855,"(41.776931366, -87.686018551)"
11567373,JC117384,1/15/2019 7:10,0000X N WELLS ST,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,122,1,42,32,08B,1174726,1900671,2019,1/23/2019 11:26,41.88283423,-87.63385509,"(41.882834231, -87.633855092)"
11567374,JC117634,1/15/2019 10:40,049XX W HUBBARD ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,TRUE,FALSE,1532,15,37,25,18,1143372,1902559,2019,1/23/2019 11:26,41.88865869,-87.74894171,"(41.888658688, -87.748941709)"
11567375,JC117622,1/15/2019 11:15,0000X E ADAMS ST,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,113,1,42,32,08A,1176689,1899474,2019,1/23/2019 11:26,41.87950547,-87.62668316,"(41.879505465, -87.626683155)"
11567376,JC117575,1/15/2019 10:13,003XX W ILLINOIS ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,FALSE,FALSE,1831,18,42,8,26,1174082,1903553,2019,1/23/2019 11:26,41.89075699,-87.63613388,"(41.890756989, -87.636133879)"
11567379,JC117653,1/12/2019 2:00,077XX S PHILLIPS AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,421,4,7,43,6,1193871,1854187,2019,1/23/2019 11:26,41.75483021,-87.56508153,"(41.754830209, -87.565081532)"
11567381,JC117630,1/11/2019 13:30,098XX S LOWE AVE,820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2223,22,34,73,6,1173702,1839793,2019,1/18/2019 9:37,41.71580161,-87.63941983,"(41.715801609, -87.639419832)"
11567383,JC117625,1/15/2019 11:12,017XX W WASECA PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2234,22,34,75,14,1166916,1829983,2019,1/23/2019 11:26,41.68902876,-87.66455254,"(41.68902876, -87.664552538)"
11567385,JC117451,1/13/2019 21:29,025XX W 45TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,922,9,15,58,26,1160303,1874753,2019,1/23/2019 11:26,41.81202285,-87.68753247,"(41.812022852, -87.687532472)"
11567386,JC117537,1/15/2019 6:05,0000X S MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,114,1,42,32,26,1177316,1900302,2019,1/23/2019 11:26,41.88176335,-87.62435582,"(41.881763353, -87.624355819)"
